acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,loudness,valence,loudness_instrumentalness_diff,energy_instrumentalness_diff,danceability_energy_diff,popularity
0.013,0.714,156943,0.472,4.51e-06,0.266,0.0864,-7.375,0.238,7.37500451,0.47199548999999996,0.242,100
0.13,0.637,200690,0.643,1.8e-06,0.142,0.0519,-6.571,0.533,6.5710017999999994,0.6429982,0.006000000000000005,97
0.0368,0.78,225389,0.689,9.69e-06,0.0698,0.141,-5.668,0.642,5.66800969,0.68899031,0.09100000000000008,93
0.0503,0.561,239360,0.52,1.86e-06,0.355,0.244,-9.342,0.424,9.34200186,0.51999814,0.041000000000000036,94
0.382,0.801,239318,0.806,0.000669,0.114,0.0381,-5.206,0.802,5.206669000000001,0.805331,0.0050000000000000044,92
0.342,0.52,167303,0.731,0.00101,0.311,0.0557,-5.338,0.662,5.33901,0.72999,0.21099999999999997,93
0.0128,0.587,206000,0.742,0.00107,0.146,0.0529,-6.64,0.199,6.64107,0.74093,0.15500000000000003,93
0.00383,0.561,175238,0.965,7.07e-06,0.371,0.0343,-3.673,0.304,3.67300707,0.96499293,0.4039999999999999,97
0.899,0.247,196520,0.299,0.0,0.131,0.0315,-6.083,0.172,6.083,0.299,0.05199999999999999,90
0.0826,0.704,148486,0.797,0.000745,0.0546,0.0475,-5.927,0.825,5.927745,0.796255,0.09300000000000008,95
0.345,0.838,134256,0.525,1.92e-06,0.0771,0.0665,-3.562,0.884,3.5620019199999997,0.52499808,0.31299999999999994,90
0.583,0.835,162638,0.679,1.98e-06,0.218,0.0364,-5.329,0.85,5.32900198,0.6789980200000001,0.15599999999999992,97
0.0635,0.733,184613,0.69,1.18e-06,0.105,0.0427,-5.529,0.31,5.52900118,0.6899988199999999,0.04300000000000004,95
0.121,0.733,192841,0.67,0.0,0.121,0.0751,-6.009,0.472,6.009,0.67,0.06299999999999994,89
0.258,0.733,202396,0.436,0.000573,0.157,0.08,-10.489,0.0976,10.489573,0.435427,0.297,92
0.653,0.515,209260,0.593,0.162,0.25,0.0322,-4.801,0.153,4.963,0.43099999999999994,0.07799999999999996,88
0.298,0.714,177955,0.728,0.0,0.106,0.0468,-4.595,0.901,4.595,0.728,0.014000000000000012,90
0.146,0.824,181831,0.453,0.0273,0.0896,0.0968,-9.604,0.552,9.6313,0.4257,0.37099999999999994,89
0.148,0.637,210576,0.715,0.0,0.0892,0.0455,-4.971,0.308,4.971,0.715,0.07799999999999996,90
0.0993,0.65,243717,0.715,0.000291,0.126,0.253,-5.198,0.187,5.198291,0.7147089999999999,0.06499999999999995,95
0.0645,0.95,170977,0.891,1.77e-05,0.309,0.241,-2.653,0.912,2.6530177,0.8909823,0.05899999999999994,88
0.626,0.686,232115,0.507,7.51e-05,0.383,0.0357,-7.097,0.69,7.0970751000000005,0.5069249,0.17900000000000005,90
0.337,0.851,164041,0.819,0.000153,0.0658,0.212,-5.173,0.903,5.173153,0.818847,0.03200000000000003,71
0.0777,0.801,182907,0.601,3.23e-05,0.145,0.255,-7.574,0.74,7.5740323,0.6009677,0.20000000000000007,87
0.107,0.565,179551,0.636,9.9e-06,0.447,0.0638,-8.198,0.525,8.1980099,0.6359901,0.07100000000000006,92
0.555,0.369,228013,0.192,8.35e-06,0.0954,0.04,-12.151,0.148,12.15100835,0.19199165,0.177,88
0.0206,0.773,165265,0.742,0.0,0.0754,0.046,-3.678,0.571,3.678,0.742,0.031000000000000028,88
0.0995,0.836,191822,0.743,0.0,0.335,0.0656,-6.305,0.722,6.305,0.743,0.09299999999999997,86
0.383,0.472,211667,0.518,0.127,0.289,0.051,-7.379,0.154,7.505999999999999,0.391,0.04600000000000004,89
0.475,0.465,213333,0.26,0.0,0.138,0.031,-8.179,0.259,8.179,0.26,0.20500000000000002,78
0.419,0.873,158805,0.695,1.23e-06,0.211,0.0459,-4.207,0.823,4.2070012299999995,0.69499877,0.17800000000000005,92
